new_id,old_id
GB-CASC-769cdc46,GB-CASC-769cdc46
GB-CASC-de4e2ccd,GB-CASC-98d8559d
GB-CASC-9ac05556,GB-CASC-0aa0a529
GB-CASC-bb2055bb,GB-CASC-bb2055bb
GB-CASC-172e553b,GB-CASC-7166ae3b
GB-CASC-1e33566e,GB-CASC-1e33566e
GB-CASC-86fcf674,GB-CASC-86fcf674
GB-CASC-610be57d,GB-CASC-4d0654c4
GB-CASC-d370f701,GB-CASC-e023f491
GB-CASC-c8febd41,GB-CASC-0a6737eb
GB-CASC-23dde47b,GB-CASC-6d76b844
GB-CASC-48495f41,GB-CASC-48495f41
GB-CASC-91894c59,GB-CASC-91894c59
GB-CASC-3d9d8efa,GB-CASC-3d9d8efa
GB-CASC-69f72da9,GB-CASC-5a3fd914
GB-CASC-f7469d94,GB-CASC-f7469d94
GB-CASC-e96247ae,GB-CASC-6fcc338f
GB-CASC-6b4dab02,GB-CASC-6b4dab02
GB-CASC-25d32afb,GB-CASC-25d32afb
GB-CASC-06ed1400,GB-CASC-87c41e9d
GB-CASC-cf1ddf2b,GB-CASC-dff7cd2b
GB-CASC-4b961198,GB-CASC-52728d23
GB-CASC-e881accf,GB-CASC-0ec91d4b
GB-CASC-da99e48d,GB-CASC-da99e48d
GB-CASC-9f00e26d,GB-CASC-85573e91
GB-CASC-ef11ef28,GB-CASC-ef11ef28
GB-CASC-a806fbb9,GB-CASC-74de64af
GB-CASC-3ea1aa88,GB-CASC-93225870
GB-CASC-3bfa4075,GB-CASC-3bfa4075
GB-CASC-9d4fcae7,GB-CASC-ebb3c13a
GB-CASC-c1554b71,GB-CASC-a395d45d
GB-CASC-fefb0362,GB-CASC-5d34e377
GB-CASC-b31cec5c,GB-CASC-ea14c632
GB-CASC-f850cf0a,GB-CASC-f5593e2e
GB-CASC-a078cfcd,GB-CASC-2448d981
GB-CASC-d1a93031,GB-CASC-d1a93031
GB-CASC-2cc15fd0,GB-CASC-512792a2
GB-CASC-2a17b3ab,GB-CASC-a1387ef3
