casc_orgid,casc_name,casc_postcode,ch_orgid,ch_number,ch_name,ch_postcode,ch_type
GB-CASC-bd5cfef9,Ayr Lawn Tennis Club,KA7 2UG,GB-COH-CS003811,CS003811,AYR LAWN TENNIS CLUB,,Scottish Charitable Incorporated Organisation
GB-CASC-f842cf77,Baberton Golf Club Ltd,EH14 5DU,GB-COH-SC267783,SC267783,BABERTON GOLF CLUB LIMITED,EH14 5DU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-332610cb,Badgers Tennis Club Ltd,BN2 5JN,GB-COH-08604766,08604766,BADGERS TENNIS CLUB LTD,BN3 2BB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-e50051a5,Balgreen Croquet Club Ltd,EH12 6EB,GB-COH-SC530564,SC530564,BALGREEN CROQUET CLUB LIMITED,EH12 6EB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-ccdb573f,Banbury Rugby Football Club Ltd,OX17 3PG,GB-COH-IP28284R,IP28284R,BANBURY RUGBY FOOTBALL CLUB LIMITED,OX15 4AF,Industrial and Provident Society
GB-CASC-ffe7ee2c,Bangor Cricket Club,LL57 2NS,GB-COH-CE017177,CE017177,BANGOR CRICKET CLUB,,Charitable Incorporated Organisation
GB-CASC-0070f74c,Bangor Rugby Football Club Ltd,LL57 4AA,GB-COH-IPIP2960,IPIP2960,BANGOR RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-4882daba,Banstead Downs Lawn Tennis Club Limited,KT20 5DS,GB-COH-03860794,03860794,BANSTEAD DOWNS LAWN TENNIS CLUB LIMITED,SM7 2DZ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-4b502b48,Banstead Neville Bowling Club Limited,KT20 5EB,GB-COH-04197059,04197059,BANSTEAD NEVILLE BOWLING CLUB LIMITED,SM7 2PA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-b7bcc63a,Barnesbury Cycling Club,NE30 2SX,GB-COH-11751041,11751041,BARNESBURY CYCLING CLUB,NE30 2SX,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-974abe49,Barnet Elizabethans Rugby Football Club Ltd,AL9 7BP,GB-COH-07144459,07144459,BARNET ELIZABETHANS RUGBY FOOTBALL CLUB LIMITED,AL9 7BP,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-4ecb99fe,Barnsley Gymnastics Club Ltd,S71 3JQ,GB-COH-06585875,06585875,BARNSLEY GYMNASTICS CLUB LIMITED,S71 3HX,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-d408e50b,Barrow and District Table Tennis Centre Ltd,LA13 0JQ,GB-COH-02748025,02748025,BARROW AND DISTRICT TABLE TENNIS CENTRE LIMITED,LA13 0JQ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-fef7b7fc,Basingstoke Rugby Football Club Ltd,RG22 5HH,GB-COH-IP28543R,IP28543R,BASINGSTOKE RUGBY FOOTBALL CLUB LIMITED,RG22 5HH,Industrial and Provident Society
GB-CASC-6f506a2d,Bath RFC,BA2 7BU,GB-COH-07702916,07702916,BATH RFC,BA2 7BU,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-35e3efdf,Battersea Ironsides Rugby Football Club Ltd,CR5 3EH,GB-COH-IP30395R,IP30395R,BATTERSEA IRONSIDES RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-639abbb5,Beaconsfield Rugby Union Football Club Limited,HP9 2SQ,GB-COH-IP030551,IP030551,BEACONSFIELD RUGBY UNION FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-3699dffc,Beaconsfield Squash Club Ltd,HP9 2DT,GB-COH-03034214,03034214,BEACONSFIELD SQUASH CLUB LIMITED,HP9 2DT,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-3c618781,Beamish Park Golf Club Ltd,DH7 6UY,GB-COH-01041410,01041410,BEAMISH PARK GOLF CLUB LIMITED,DH9 0RH,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-d70e55e6,Beckenham Rugby Football Club Ltd,BR3 6SG,GB-COH-IP29553R,IP29553R,BECKENHAM RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-160cd141,Bedale Golf Club Ltd,DL5 1EZ,GB-COH-02310557,02310557,BEDALE GOLF CLUB LIMITED,DL8 1EZ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-8ce1a12b,Bedworth Cricket Club,CV12 9HF,GB-COH-10581311,10581311,BEDWORTH CRICKET CLUB,CV12 9QG,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-91c63e0c,Bentham Bowling Club Ltd,GL50 2QJ,GB-COH-03279046,03279046,BENTHAM BOWLING CLUB LIMITED,GL50 2QJ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-e374a2e5,Bentley Golf Club Ltd,CM15 9SS,GB-COH-04992281,04992281,BENTLEY GOLF CLUB LIMITED,CM15 9SS,Private Limited Company
GB-CASC-e2c2df99,Berwick Rugby Football Club Limited,TD15 2QY,GB-COH-07034255,07034255,BERWICK RUGBY FOOTBALL CLUB LIMITED,TD15 1DJ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-a35fbaf5,Bewl Bridge Rowing Club,TN4 8NW,GB-COH-06558444,06558444,BEWL BRIDGE ROWING CLUB,TN2 4AP,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-c6a4fdc7,Bexley Rugby Football Club Ltd,DA5 3JN,GB-COH-IP30026R,IP30026R,BEXLEY RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-4f52791d,Bideford Rugby Football Club Ltd,EX39 3PH,GB-COH-07405970,07405970,BIDEFORD RUGBY FOOTBALL CLUB LIMITED,EX39 3PH,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-0284041b,Bidford Gliding and Flying Club Ltd,B50 4PD,GB-COH-07457880,07457880,BIDFORD GLIDING AND FLYING CLUB LIMITED,B50 4PD,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-07ef655d,Bigbury Bay Golf Club Ltd,TQ7 4BB,GB-COH-06929632,06929632,BIGBURY BAY GOLF CLUB LIMITED,TQ7 4BB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-0ae929df,Birkenhead Lawn Tennis Club Ltd,CH43 2HG,GB-COH-00210758,00210758,BIRKENHEAD LAWN TENNIS CLUB LIMITED,CH43 1TZ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-4c066fbc,Birmingham Exiles RFC Ltd,B92 9ED,GB-COH-08326766,08326766,BIRMINGHAM EXILES RFC LTD,B92 9ED,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-330fcde5,Birtley (Portobello) Golf Club Ltd,DH3 2LR,GB-COH-00878667,00878667,BIRTLEY (PORTOBELLO) GOLF CLUB LIMITED,DH3 2LR,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-59fdde6a,Bishop Auckland and District Angling Club,DL14 8QP,GB-COH-03273784,03273784,BISHOP AUCKLAND AND DISTRICT ANGLING CLUB,DL13 4HG,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-dee30878,Black Country Triathletes Ltd,WV5 8EN,GB-COH-06048522,06048522,BLACK COUNTRY TRIATHLETES LIMITED,WV5 8EN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-4125f043,Blackburn Academy of Martial Arts CIC,BB10 3RA,GB-COH-10381430,10381430,BLACKBURN ACADEMY OF MARTIAL ARTS CIC,BB10 3RA,Community Interest Company
GB-CASC-560f6afe,Blackburn Rugby Union Football Club,BB1 8NB,GB-COH-CE013242,CE013242,BLACKBURN RUGBY UNION FOOTBALL CLUB,,Charitable Incorporated Organisation
GB-CASC-9ffce225,Blackburn Sports and Social Community Club Ltd,HU1 1RS,GB-COH-09566952,09566952,BLACKBURN SPORTS AND SOCIAL COMMUNITY CLUB LIMITED,HU1 1RS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-83cc256a,Blackheath Cricket Club,SE3 9EF,GB-COH-07949402,07949402,BLACKHEATH CRICKET CLUB,SE3 8SR,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-d168c1db,Blaina Bowls Club,NP13 3HY,GB-COH-06847747,06847747,BLAINA BOWLS CLUB,NP13 1DL,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-101cf53f,Bletchley Rugby Club Ltd,MK18 2DH,GB-COH-06930435,06930435,BLETCHLEY RUGBY CLUB LIMITED,MK2 2HZ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-490e06e3,Blue Flames Sporting Club Ltd,NE12 9SL,GB-COH-03240288,03240288,BLUE FLAMES SPORTING CLUB LIMITED,NE12 9SF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-1ae2f941,Blyth Cricket and Rugby Football Club Ltd,NE24 3LE,GB-COH-IP29471R,IP29471R,BLYTH CRICKET AND RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-f8534ac8,Bognor Regis Golf Club,PO22 8JD,GB-COH-10535088,10535088,BOGNOR REGIS GOLF CLUB,PO22 8JD,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-96958669,Bognor Rugby Football Club Ltd,PO22 7NJ,GB-COH-IP29823R,IP29823R,BOGNOR RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-ea1b8fe8,Bolton Old Links Golf Club Ltd,BL6 4PP,GB-COH-00177779,00177779,BOLTON OLD LINKS GOLF CLUB LIMITED,BL1 5SU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-4ddd577a,Bolton Trampoline Club,BL3 4TG,GB-COH-10747412,10747412,BOLTON TRAMPOLINE CLUB,BL4 7ER,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-4ff34076,Booker Gliding Club Ltd,SL7 3DR,GB-COH-01492733,01492733,BOOKER GLIDING CLUB LIMITED,SL7 3DP,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-c0fd242d,Borough Green Junior FC Ltd,TN15 7RD,GB-COH-09312473,09312473,BOROUGH GREEN JUNIOR FC LIMITED,TN12 5JR,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-a5098e8d,Boston Indoor Bowling Ltd,PE20 1RQ,GB-COH-01696687,01696687,BOSTON INDOOR BOWLING LIMITED,PE21 7QR,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-bd2e7c68,Bowdon RUFC Ltd,WA15 8EY,GB-COH-10143580,10143580,BOWDON RUFC LTD,WA15 7AF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-169ed365,Bowmen of Minchinhampton Ltd,GL6 7DR,GB-COH-11061284,11061284,BOWMEN OF MINCHINHAMPTON LTD,GL6 7DR,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-61e7e0e6,Bowmoor Sailing Club,GL52 6SX,GB-COH-04157021,04157021,BOWMOOR SAILING CLUB,GL7 3DT,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
