casc_orgid,casc_name,casc_postcode,ch_orgid,ch_number,ch_name,ch_postcode,ch_type
GB-CASC-65ac7e02,Caprington Community Golf Club,KA1 4UW,GB-COH-SC504624,SC504624,CAPRINGTON COMMUNITY GOLF CLUB,KA1 4UW,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-33183283,Cargreen Yacht Club Ltd,PL12 6SE,GB-COH-05121798,05121798,CARGREEN YACHT CLUB LIMITED,PL12 6PB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-911b5285,Carlisle Squash and Racketball Club Limited,CA1 1LW,GB-COH-11773876,11773876,CARLISLE SQUASH AND RACKETBALL CLUB LIMITED,CA1 1LW,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-d0c13a19,Carnethy Hill Racing Club,EH1 2JY,GB-COH-SC492075,SC492075,CARNETHY HILL RACING CLUB,EH26 8PH,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-73e9d30e,Carnethy Hill Running Club,EH1 2JY,GB-COH-SC492072,SC492072,CARNETHY HILL RUNNING CLUB,EH26 8PH,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-01098ab3,Carterton Gymnastic Club CIC,OX18 1BU,GB-COH-11623731,11623731,CARTERTON GYMNASTIC CLUB CIC,OX29 6RE,Community Interest Company
GB-CASC-1c754048,Catford Wanderers Sports Club Ltd,SE6 3NU,GB-COH-09534146,09534146,CATFORD WANDERERS SPORTS CLUB LTD,SE18 6SS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-2988ab53,Catterick Golf Club Ltd,DL9 3QE,GB-COH-IP28260R,IP28260R,CATTERICK GOLF CLUB LIMITED,DL9 3QE,Industrial and Provident Society
GB-CASC-d353daa8,Cefn Coed RFC Ltd,CF48 2NB,GB-COH-08026177,08026177,CEFN COED RFC LIMITED,CF48 2NB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-f550bf70,Century Bowling and Sports Club Ltd,HA9 8PY,GB-COH-IP12216R,IP12216R,CENTURY BOWLING AND SPORTS CLUB LIMITED,,Industrial and Provident Society
GB-CASC-bfc2cd9d,Chalfont Park Sports Association Ltd,SL9 0EN,GB-COH-03729968,03729968,CHALFONT PARK SPORTS ASSOCIATION LIMITED,SL9 0QA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-f0790970,Chalke Valley Cricket Club Ltd,SP5 5HH,GB-COH-07199110,07199110,CHALKE VALLEY CRICKET CLUB LIMITED,SP5 5HQ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-cb1c3605,Chapel-en-le-Frith Golf Club Ltd,SK23 9UH,GB-COH-00120936,00120936,CHAPEL-EN-LE-FRITH GOLF CLUB LIMITED,SK23 9UH,Private Limited Company
GB-CASC-e0109adf,Chawton Park Indoor Bowls Club Ltd,GU34 1RF,GB-COH-03094818,03094818,CHAWTON PARK INDOOR BOWLS CLUB LIMITED,GU34 1RF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-652669de,Cheadle (Kingsway) Sports Club Limited,SK8 6HZ,GB-COH-IP23027R,IP23027R,CHEADLE (KINGSWAY) SPORTS CLUB LIMITED,,Industrial and Provident Society
GB-CASC-6ea7e77f,Chellaston Bowls Club (2010),DE73 5SP,GB-COH-07175269,07175269,CHELLASTON BOWLS CLUB (2010),DE73 5SP,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-66bbd511,Chelmsford Rugby Football Club,CM7 2RN,GB-COH-06964485,06964485,CHELMSFORD RUGBY FOOTBALL CLUB,CM2 6AG,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-ce9ff4db,Cheltenham Rugby Club Ltd,GL53 0AR,GB-COH-IP29586R,IP29586R,CHELTENHAM RUGBY CLUB LIMITED,,Industrial and Provident Society
GB-CASC-e984cf54,Chepstow Rugby Football Club Ltd,NP16 5NN,GB-COH-IP29425R,IP29425R,CHEPSTOW RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-24464142,Chesham Cricket Club Ltd,HP7 9BU,GB-COH-08350253,08350253,CHESHAM CRICKET CLUB LIMITED,W1U 8HU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-2756a9c7,Chester Horse Driving Trials Ltd,LL20 8AR,GB-COH-03362826,03362826,CHESTER HORSE DRIVING TRIALS LTD,M31 4LT,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-45fc9cb6,Chester Road Sports and Social Club,DY10 3DQ,GB-COH-10404847,10404847,CHESTER ROAD SPORTS AND SOCIAL CLUB,DY10 1TH,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-ce241a51,Chesterfield Lawn Tennis Club Ltd,S40 4SW,GB-COH-05086642,05086642,CHESTERFIELD LAWN TENNIS CLUB LIMITED,S40 4TW,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-4767b642,Chilton Fields Sports Club Ltd,IP14 1SZ,GB-COH-06923219,06923219,CHILTON FIELDS SPORTS CLUB LIMITED,IP14 1SZ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-9ede11e4,Chingford Rugby Football Club Ltd,E4 7DP,GB-COH-IP29286R,IP29286R,CHINGFORD RUGBY FOOTBALL CLUB LIMITED,E4 8AQ,Industrial and Provident Society
GB-CASC-2090c135,Chipperfield Corinthians Youth Football Club Ltd,WD4 9BT,GB-COH-11113023,11113023,CHIPPERFIELD CORINTHIANS YOUTH FOOTBALL CLUB LTD,WD4 9EU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-88814d98,Chiswick Tennis Club Ltd,W4 2LJ,GB-COH-01857582,01857582,CHISWICK TENNIS CLUB LIMITED,TW9 2RD,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-490c21fd,Chobham Rugby Football Club Ltd,GU19 5QY,GB-COH-08259843,08259843,CHOBHAM RUGBY FOOTBALL CLUB LIMITED,GU7 1LQ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-b3aa3303,Chorleywood Golf Club Ltd,WD3 5LN,GB-COH-01195498,01195498,CHORLEYWOOD GOLF CLUB LIMITED,WD3 5LN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-a69011b2,Churston Golf Club Ltd,TQ5 0LA,GB-COH-02571533,02571533,CHURSTON GOLF CLUB LIMITED,TQ5 0LA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-677005f3,Cirencester Rugby Football Club Ltd,GL7 2ER,GB-COH-IP29401R,IP29401R,CIRENCESTER RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-4ab8f0c3,City of Cambridge Rowing Club Ltd,CB1 8NS,GB-COH-09816395,09816395,CITY OF CAMBRIDGE ROWING CLUB LTD,CB1 8NS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-8077ea75,City of Sheffield Rowing Club,S6 5HP,GB-COH-CE016861,CE016861,CITY OF SHEFFIELD ROWING CLUB,,Charitable Incorporated Organisation
GB-CASC-0096342f,Clacton-on-Sea Golf Club Ltd,CO15 1AJ,GB-COH-05822581,05822581,CLACTON-ON-SEA GOLF CLUB LIMITED,CO15 1AJ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-5ae336f6,Claverdon Rugby Club Ltd,CV35 8HN,GB-COH-08876267,08876267,CLAVERDON RUGBY CLUB LIMITED,CV35 8HN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-6bfe8907,Cleethorpes Golf Club (1894) Ltd,DN35 0PN,GB-COH-05105012,05105012,CLEETHORPES GOLF CLUB (1894) LIMITED,DN35 0PN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-d15abaa7,Cleve Archers Ltd,BS16 5QA,GB-COH-09463743,09463743,CLEVE ARCHERS LIMITED,BS16 5QA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-961c727f,Clevedon Rugby Football Club Ltd,BS21 6PF,GB-COH-IP28568R,IP28568R,CLEVEDON RUGBY FOOTBALL CLUB LIMITED,BS21 6PF,Industrial and Provident Society
GB-CASC-f1bd215b,Clwb Peldroed Penmachno Ltd,LL24 0YR,GB-COH-09185289,09185289,CLWB PELDROED PENMACHNO LIMITED,LL24 0YR,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-0063da42,Clwb Rygbi Bethesda Cyf,LL57 3NE,GB-COH-10202803,10202803,CLWB RYGBI BETHESDA CYF,LL57 3NE,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-0fbf6d4f,Clwb Rygbi Crymych Cyf,SA41 3QE,GB-COH-10363594,10363594,CLWB RYGBI CRYMYCH CYF,SA41 3QE,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-3ee17224,Clwb Rygbi Dolgellau Cyf,LL40 1UU,GB-COH-09815202,09815202,CLWB RYGBI DOLGELLAU CYF,LL40 1UU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-e6551dc6,Clwb Rygbi Pontiets Ltd,SA15 5TR,GB-COH-11365482,11365482,CLWB RYGBI PONTIETS LIMITED,SA15 5TR,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-16b1399c,Clwb Rygbi Rhuthun Cyf,LL15 1NJ,GB-COH-09879896,09879896,CLWB RYGBI RHUTHUN CYF,LL15 1NJ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-0cb86e2f,Clwb Rygbi Ystradgynlais Ltd,SA9 1HB,GB-COH-10943649,10943649,CLWB RYGBI YSTRADGYNLAIS LTD,SA9 1BH,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-83ee7467,Cobras Basketball Club Ltd,LU6 1SU,GB-COH-10333649,10333649,COBRAS BASKETBALL CLUB LIMITED,LU6 1SU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-82837889,Colchester Rifle Club Ltd,CO2 0HU,GB-COH-07334265,07334265,COLCHESTER RIFLE CLUB LIMITED,CO2 0HU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-18a19bdb,Colchester Rugby Football Club Ltd,IP7 6EH,GB-COH-IP030685,IP030685,COLCHESTER RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-ea3d01c9,Colne and Nelson Rugby Club Ltd,BB8 9TA,GB-COH-07489109,07489109,COLNE AND NELSON RUGBY CLUB LIMITED,BB8 9SF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-295d25a6,Conway LTC,N14 7BA,GB-COH-05526591,05526591,CONWAY LTC,N14 7BA,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-7da0d1a3,Coombe Wood Golf Club Ltd,SW19 4EW,GB-COH-00703593,00703593,COOMBE WOOD GOLF CLUB LIMITED,KT2 7NS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-b0d59b26,Cradoc Golf Club Ltd,LD3 9LP,GB-COH-08838960,08838960,CRADOC GOLF CLUB LIMITED,LD3 7DG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-3a4af809,Craighelen Lawn Tennis and Squash Club,G84 7AP,GB-COH-SC269594,SC269594,CRAIGHELEN LAWN TENNIS AND SQUASH CLUB,G84 7AP,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-6d09b0a4,Cranleigh Cricket Club,GU6 8SU,GB-COH-08577191,08577191,CRANLEIGH CRICKET CLUB,GU6 8NS,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-9e66660c,Croftside Tennis Club Limited,SK9 6JL,GB-COH-09907993,09907993,CROFTSIDE TENNIS CLUB LIMITED,SK9 5DU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-1937ccae,Croham Hurst Golf Club Ltd,CR2 7HJ,GB-COH-00687594,00687594,CROHAM HURST GOLF CLUB LIMITED,CR2 7HJ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-04754188,Crossleyans Club Ltd,HX3 0JE,GB-COH-IP031035,IP031035,CROSSLEYANS CLUB LIMITED,,Industrial and Provident Society
GB-CASC-e5da6cab,Crowborough Rugby Football Club Ltd,TN6 2XB,GB-COH-IP30041R,IP30041R,CROWBOROUGH RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-8324763f,Crusaders Rugby Union Football Club Ltd,NR9 3NP,GB-COH-IP031722,IP031722,CRUSADERS RUGBY UNION FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-fb09840f,CS Rugby 1863,SW14 7HA,GB-COH-08204820,08204820,CS RUGBY 1863,SW14 7HA,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-96172993,Dalgety Bay Sailing Club Ltd,KY11 9SJ,GB-COH-SC433857,SC433857,DALGETY BAY SAILING CLUB LIMITED,KY11 9SJ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-cc65fec4,Dance Crazy Dance Club Ltd,BH6 4DJ,GB-COH-08904276,08904276,DANCE CRAZY DANCE CLUB LIMITED,BH6 4DJ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-6b9b2a14,Dark Circle ABC Ltd,WV2 4NG,GB-COH-08991506,08991506,DARK CIRCLE ABC LTD,WV2 4NG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-1f41c0b3,Darlington Gymnastics Club,DL3 8AL,GB-COH-08642743,08642743,DARLINGTON GYMNASTICS CLUB,DL3 0PP,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-1bd13708,Dartford Cricket Club Ltd,DA2 6DB,GB-COH-RS004051,RS004051,DARTFORD CRICKET CLUB LIMITED,,Registered Society
GB-CASC-c77baf73,Dartmoor Gliding Society,PL20 6NE,GB-COH-03592292,03592292,DARTMOOR GLIDING SOCIETY,PL19 0LB,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-7076e856,Dartmouth Sailing Club (Holdings) Ltd,TQ6 9BB,GB-COH-00848962,00848962,DARTMOUTH SAILING CLUB (HOLDINGS) LIMITED,B24 9ND,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-75e08dde,Darwen Golf Club Ltd,BB3 0LB,GB-COH-00180166,00180166,DARWEN GOLF CLUB LIMITED,BB3 0LB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-1b19071c,Daventry Indoor Bowling Club Ltd,NN11 4NS,GB-COH-03419085,03419085,DAVENTRY INDOOR BOWLING CLUB LIMITED,NN11 4NS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-169df934,Deepdale Bowling Club (1897) Ltd,PR2 6UY,GB-COH-03336234,03336234,DEEPDALE BOWLING CLUB (1897) LIMITED,PR1 6LN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-7216858a,Deer Park Archers Ltd,GL53 0NB,GB-COH-09044411,09044411,DEER PARK ARCHERS LIMITED,GL3 3DZ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-88592c82,Denby Dale Tennis Club Ltd,HD8 9HF,GB-COH-06578855,06578855,DENBY DALE TENNIS CLUB LIMITED,HD8 8TG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-d8ca8138,Denham Cricket Club Ltd,UB9 5EB,GB-COH-08357382,08357382,DENHAM CRICKET CLUB LIMITED,UB9 5EB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-7d621f2d,Derbyshire Archery Club,DE22 1EB,GB-COH-10905083,10905083,DERBYSHIRE ARCHERY CLUB,DE73 6QU,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-24a33adc,Dereham Rugby Football Club Ltd,NR19 1LH,GB-COH-IP30082R,IP30082R,DEREHAM RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-3b3fce84,Devon Airsports (Eaglescott Airfield) Ltd,EX37 9LH,GB-COH-04767351,04767351,DEVON AIRSPORTS (EAGLESCOTT AIRFIELD) LIMITED,EX31 1EU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-254a3f37,Dewsbury Table Tennis League Ltd,WF14 0QG,GB-COH-03376346,03376346,DEWSBURY TABLE TENNIS LEAGUE LIMITED,WF14 0QG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-c7dd6700,Didsbury Golf Club Ltd,M22 4NQ,GB-COH-00401184,00401184,DIDSBURY GOLF CLUB LIMITED,M22 4NQ,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-3ca110bf,Disley Golf Club Ltd,SK12 2JX,GB-COH-00170424,00170424,DISLEY GOLF CLUB LIMITED,SK12 2JX,Private Limited Company
GB-CASC-dc659493,Diss Rugby Union Football Club Ltd,IP22 1QL,GB-COH-IP28607R,IP28607R,DISS RUGBY UNION FOOTBALL CLUB LIMITED,IP22 3RG,Industrial and Provident Society
GB-CASC-22d5d210,Dolphin Indoor Bowls Club Ltd,BH19 8DY,GB-COH-IP24743R,IP24743R,DOLPHIN INDOOR BOWLS CLUB LIMITED,,Industrial and Provident Society
GB-CASC-1b006301,Dolphina Gymnastic Centre Ltd,WD24 7GP,GB-COH-08811293,08811293,DOLPHINA GYMNASTIC CENTRE LTD,WD24 7GP,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-85b54531,Doncaster Athletic Club,DN7 6SG,GB-COH-05907679,05907679,DONCASTER ATHLETIC CLUB,DN4 5JW,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-89b91e81,Dorchester Barbell CASC Ltd,DT2 8XE,GB-COH-08913874,08913874,DORCHESTER BARBELL CASC LTD,DT1 2PJ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-4aa44e07,Dorchester Rugby Football Club Ltd,DT1 2EB,GB-COH-IP30075R,IP30075R,DORCHESTER RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-46f9405d,Dorking Lawn Tennis and Squash Club Ltd,RH4 3ET,GB-COH-00519212,00519212,DORKING LAWN TENNIS AND SQUASH CLUB LIMITED,RH4 3ET,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-4e316c88,Dorset Gliding Club Ltd,DT1 2AU,GB-COH-02487731,02487731,DORSET GLIDING CLUB LIMITED,BH17 7BX,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-a1450e49,Downshire Rifle Club Ltd,BT6 0NS,GB-COH-NI032415,NI032415,DOWNSHIRE RIFLE CLUB LIMITED,BT26 6DU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-dea2d5f0,Drapers Farm Sports Club,CM8 3JM,GB-COH-12039355,12039355,DRAPERS FARM SPORTS CLUB,CM9 4QT,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-1c4aacec,Draycott Sports Centre Ltd,ST10 1DY,GB-COH-01061919,01061919,DRAYCOTT SPORTS CENTRE LIMITED,ST11 9AF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-21b75d06,Driffield RUFC Ltd,YO25 9DW,GB-COH-10167093,10167093,DRIFFIELD RUFC LIMITED,HU2 8BA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-ab23c669,Drill Hall Sports Club (Enfield) Ltd,EN2 6PJ,GB-COH-03413460,03413460,DRILL HALL SPORTS CLUB (ENFIELD) LIMITED,EN2 7DR,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-2e96bc68,Drybrook Rugby Football Club Ltd,GL17 9EU,GB-COH-08049681,08049681,DRYBROOK RUGBY FOOTBALL CLUB LIMITED,GL17 9EU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-290567f0,Dudley Town Football Club Ltd,DY1 3HT,GB-COH-10946448,10946448,DUDLEY TOWN FOOTBALL CLUB LIMITED,DY1 4ST,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-c8e5f05f,Dunfermline Tennis and Bridge Club Ltd,KY12 7HU,GB-COH-SC043766,SC043766,DUNFERMLINE TENNIS AND BRIDGE CLUB LIMITED,KY12 7HU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-67f5bd06,Durham City Rugby Football Club Ltd,DH1 3JU,GB-COH-07172016,07172016,DURHAM CITY RUGBY FOOTBALL CLUB LIMITED,DH1 3JU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-15cfb9bb,Durham Indoor Bowling Community Association Ltd,DH1 5DJ,GB-COH-02629641,02629641,DURHAM INDOOR BOWLING COMMUNITY ASSOCIATION LIMITED,DH1 5GE,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-5ca4ca87,Eagles Gymnastics Club Ltd,PE30 4NG,GB-COH-10799173,10799173,EAGLES GYMNASTICS CLUB LTD,UB8 1QG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-da59832b,Ealing Canoe Club,UB6 7PQ,GB-COH-08144408,08144408,EALING CANOE CLUB,UB6 7PQ,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-08574e94,East Barnet Old Grammarians Ltd,EN5 4DU,GB-COH-00710835,00710835,EAST BARNET OLD GRAMMARIANS LIMITED,EN5 2PU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-47ccee09,East Christchurch Sports and Social Club Ltd,BH23 4JE,GB-COH-04246450,04246450,EAST CHRISTCHURCH SPORTS AND SOCIAL CLUB LTD,BH23 4JD,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-90be47e1,East Dorset Indoor Bowls Club Ltd,BH23 7NX,GB-COH-IP21692R,IP21692R,EAST DORSET INDOOR BOWLS CLUB LIMITED,,Industrial and Provident Society
GB-CASC-0ad32891,East Dorset Rugby Football Club Ltd,BH23 1LR,GB-COH-08691351,08691351,EAST DORSET RUGBY FOOTBALL CLUB LTD,BH23 1LR,Private Limited Company
GB-CASC-35672019,East Gloucestershire Club Ltd,GL53 7DF,GB-COH-09794879,09794879,EAST GLOUCESTERSHIRE CLUB LIMITED,GL53 7DF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-05476646,East Molesey Cricket Club,KT5 8LP,GB-COH-11245652,11245652,EAST MOLESEY CRICKET CLUB,KT5 8LP,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-a01324b4,East Sussex Gliding Club Ltd,RH19 3RF,GB-COH-IP21662R,IP21662R,EAST SUSSEX GLIDING CLUB LIMITED,BN3 3JT,Industrial and Provident Society
GB-CASC-bb1b90cd,Eastbourne ABC,BN21 3XE,GB-COH-09052305,09052305,EASTBOURNE ABC,BN21 3XE,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-c092f870,Eastbourne and District Indoor Bowls Association Ltd,BN22 2TJ,GB-COH-01317369,01317369,EASTBOURNE AND DISTRICT INDOOR BOWLS ASSOCIATION LIMITED,BN22 9QR,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-8a2fba89,Eastbourne Rugby Football Club Ltd,BN21 3UT,GB-COH-06363847,06363847,EASTBOURNE RUGBY FOOTBALL CLUB LIMITED,BN1 6SB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-80008814,Eastcote Hockey and Badminton Club Ltd,WD3 7AN,GB-COH-03192858,03192858,EASTCOTE HOCKEY AND BADMINTON CLUB LIMITED,WD3 7AN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-c2149ccf,Eccles Rugby Football Club Ltd,M30 8DJ,GB-COH-IP28811R,IP28811R,ECCLES RUGBY FOOTBALL CLUB LIMITED,M30 7LZ,Industrial and Provident Society
GB-CASC-aa5b65b0,Edenbridge Cricket Club Ltd,RH8 0HY,GB-COH-07857069,07857069,EDENBRIDGE CRICKET CLUB LIMITED,RH8 0HY,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-8f427d29,Edenbridge Rugby Football Club Ltd,TN8 5DY,GB-COH-06904913,06904913,EDENBRIDGE RUGBY FOOTBALL CLUB LIMITED,TN8 5HL,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-0390ca06,Edensoaring Ltd,RG17 8PD,GB-COH-06586386,06586386,EDENSOARING LTD,CA11 7RN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-f8a3a0b1,Edinburgh Curling Club Ltd,EH12 5XN,GB-COH-SC138893,SC138893,EDINBURGH CURLING CLUB LIMITED,EH12 5XN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-14f03342,Egerton Park Indoor Bowls Club Ltd,TN40 1DF,GB-COH-00896130,00896130,EGERTON PARK INDOOR BOWLS CLUB LIMITED,TN39 3HL,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-cb7c27e3,Elmbridge Eagles Bike Club Ltd,KT13 0HN,GB-COH-09561334,09561334,ELMBRIDGE EAGLES BIKE CLUB LTD,KT13 0HN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-9bbec02c,Eltham Town Football Club Ltd,BR3 1QZ,GB-COH-09176198,09176198,ELTHAM TOWN FOOTBALL CLUB LIMITED,HA3 7BB,Private Limited Company
GB-CASC-51f7ec01,Empire Bowls Club Ltd,DA9 9EZ,GB-COH-05434583,05434583,EMPIRE BOWLS CLUB LIMITED,DA11 0HU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-70e28405,Enfield Golf Club Ltd,EN2 7DA,GB-COH-00075164,00075164,ENFIELD GOLF CLUB LIMITED,EN2 7DA,Private Limited Company
